Principle,Statement
12.1.1,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
12.1.2,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
12.1.3,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
12.2.1,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
12.2.2,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
12.2.3,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
13.1.1,Provided ad-hoc following default - no defaults since launch (22 Sept 2014)
13.1.2,Provided ad-hoc following default - no defaults since launch (22 Sept 2014)
13.1.3.1,Provided ad-hoc following default - no defaults since launch (22 Sept 2014)
13.1.3.2,Provided ad-hoc following default - no defaults since launch (22 Sept 2014)
13.1.4,Provided ad-hoc following default - no defaults since launch (22 Sept 2014)
14.1.1,"LME Clear currently has two ISA accounts, non-disclosure according to notes"
16.2.1,"Including reverse repo, but excluding outright purchases"
16.2.4,LMEC consider reverse repo as secured by definition
16.2.8,USD Equivalent
16.2.9,WAM: 1.4 Business Days / 4.3 Actual Days
16.2.15,"7.89% invested directly in USD securities
0% invested directly in EUR securities
0% invested directly in GBP securities
0% invested directly in JPY securities"
16.2.16,All Securities are FRNs with weekly fixes; The WAM of these securities is 115 days
16.2.17,"99% 1-day VaR using a parametric approach (based on 2 year historical data). Underlying curve: 1W USD OIS [Source: Bloomberg]): $1,849"
16.2.18,"Limits per counterparty defined across 4 internal credit rating bands, based on concentration limits (as a percentage of total portfolio size). Max concentration limit range from 25% for AA- to AAA (CB1 & 2), to 15% for A- (CB4)"
16.2.19,0 limit breaches
16.2.20,"Outright purchases only, no reverse repo. Refer to 16.2.10"
16.3.1,N/A - no rehypothecation
16.3.2,N/A - no rehypothecation
16.3.3,N/A - no rehypothecation
16.3.4,N/A - no rehypothecation
17.1.1,Current operational availability target for LMEmercury
17.2.1, YTD clearing availability on LMEmercury
17.4.1,Instant failover between two data centers
18.1.2.4,"4 Credit Institutions, 3 unclassified"
19.1.3.1,N/A - client transactions not available
19.1.3.2,N/A - client transactions not available
19.1.4.1,N/A - client transactions not available
19.1.4.2,N/A - client transactions not available
20.7.2,N/A - no cross-margining
23.1.1,Quarterly average
23.1.2,"Quarterly average, USD equivalent - notional calculated by multiplying delta, closing price and tonnage"
23.2.1,As of 31 December
23.2.2,Commodities
23.2.3,"Forwards, Swaps, Options, TAPOS"
23.2.4,"AA, AE, AH, AN, AS, AW, CA, CO, FM, MO, MX, NA, NI, PB, SC, SN, SR, ZS: underlying codes linked to contracts"
23.3.1,Telephone includes OTC bring-ons and OTC take-offs
23.3.2,"Quarterly average, USD equivalent"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
