Principle,Statement
5.1.1,"Two links provided to current rates, the latter referencing LME Clear Collateral Haircuts, an online PDF

Instruments and haircuts as at 31/03/2016

GOLD 9.60%
ALUMINIUM WARRANTS 9.30%
COPPER WARRANTS 12.00%
LEAD WARRANTS 13.00%
NICKEL WARRANTS 19.80%
TIN WARRANTS 10.80%
ZINC WARRANTS 12.75%
EUR CASH 3.10%
JPY CASH 3.75%
GBP CASH 4.25%
CNH CASH 9.04%
US 1 Y 0.45%
US 3 Y 1.15%
US 5 Y 2.20%
US 7 Y 2.75%
US 10 Y 3.05%
US 15 Y 4.30%
US 20 Y 5.70%
US 30 Y 9.35%
GERMANY 1 Y 0.25%
GERMANY 3 Y 0.85%
GERMANY 5 Y 1.40%
GERMANY 7 Y 1.75%
GERMANY 10 Y 2.80%
GERMANY 15 Y 4.30%
GERMANY 20 Y 6.05%
GERMANY 30 Y 9.20%
JAPAN 1 Y 2.00%
JAPAN 3 Y 2.00%
JAPAN 5 Y 2.00%
JAPAN 7 Y 2.00%
JAPAN 10 Y 2.00%
JAPAN 15 Y 3.65%
JAPAN 20 Y 5.55%
UK 1 Y 0.35%
UK 3 Y 0.90%
UK 5 Y 1.70%
UK 7 Y 2.10%
UK 10 Y 2.65%
UK 15 Y 4.25%
UK 20 Y 5.55%
UK 30 Y 7.55%
FRANCE 1 Y 0.20%
FRANCE 3 Y 1.20%
FRANCE 5 Y 1.85%
FRANCE 7 Y 2.40%
FRANCE 10 Y 2.90%
FRANCE 15 Y 4.45%
FRANCE 20 Y 5.70%
FRANCE 30 Y 9.15%
NETHERLANDS 1 Y 0.25%
NETHERLANDS 3 Y 1.00%
NETHERLANDS 5 Y 1.40%
NETHERLANDS 7 Y 1.80%
NETHERLANDS 10 Y 2.75%
NETHERLANDS 15 Y 4.25%
NETHERLANDS 20 Y 5.90%
NETHERLANDS 30 Y 9.15%
FINLAND 1 Y 0.85%
FINLAND 3 Y 0.95%
FINLAND 5 Y 1.45%
FINLAND 7 Y 1.90%
FINLAND 10 Y 2.60%
FINLAND 15 Y 6.70%
FINLAND 20 Y 9.15%
FINLAND 30 Y 13.05%"
5.3.3,1000 one-day observations and 500 non overlapping two-day observations
5.3.4,"15 risk factor breaches, 1 portfolio breach (one asset in an isolated portfolio). 16 total breaches across 2 days"
6.1.1,"Total Initial Margin, excluding Additional Margin"
6.2.1,"Unsecured EUR, JPY, USD @ ECB, BoJ or Fed, USD Equivalent"
6.2.3,"Outright purchase + reverse repo, USD Equivalent. Includes $0.995bn outright. Weighted haircut = 3.33%"
6.2.4,USD Equivalent
6.4.1,Header and key parameters disclosed
6.4.9,"No changes to SPAN algorithm since 22 Sept 2014, minor changes to derivation of model parameters"
6.5.1.2,Once-a-day
6.5.1.3,9:45PM (EOD)
6.6.1,"Final Cash payment of Variation Margin to CCP. Calculated VM (CVM which can be used to offset IM) is not included in this calculation. Cashflows are converted to USD equivalent, summed to account level and taking negative net amounts (payments to CCP)"
6.7.1,"Maximum of figure quoted in 6.6.1, 65 observations. Third Wednesday"
6.8.1,Maximum of total intraday margin calls (including cover distribution) over quarter
7.1.1,Cover 2
7.1.4,"Total Reverse Repo: $7.250bn
- Reverse Repo Maturing on T: $4.951bn
- Reverse Repo Maturing on T+1: $1.3bn
- Reverse Repo Maturing on T+2, T+3 & T+4: $0mn
- Reverse Repo Maturing on T+5: $1.0bn"
7.1.5,Unsecured USD Cash on Account with Commercial Bank: $1.563mn
7.1.8,Unencumbered Short Term Bills & FRNs: $5.033mn
7.1.9,Secured uncommitted lines of credit
7.1.11,"Significant intraday and end-of-day liquidity buffer, alongside limits on excess withdrawal, allow LMEC to release payments simultaneously without the need for prioritisation"
7.2.1,"For the purpose of liquidity modelling and determining available liquid financial resources, LMEC does not include the following:
-The liquidation of any reverse repo investment collateral with counterparts included in the cover 2 ($2.039bn as at 31/03/2016 in 5 day stress, $2.005bn in 1 day cover 2 stress)
-term reverse repo (with investment counterparts outside of cover 2), ($1.1bn as at 31/03/2016 in 5 day stress and $2.2 in 1 day stress). Per LMEC Liquidity modelling, reverse repo will be considered as a liquid financial resource on the day of maturity;
-The liquidation of non-cash margin collateral from members included in the cover 2 ($0 as at 31/03/2016 for 1 day test, $425.65mn for 5 day test)"
7.3.1,"Largest 1-day Liquidity Requirement from the Default of a Single Member and/or Investment Counterpart: $1.0bn
Largest 5-day Liquidity Requirement from the Default of a Single Member and/or Investment Counterpart: $1.404bn"
7.3.2,None – cover 2 always met
7.3.4,Based on the largest delivery payment over the previous 12 months
7.3.5,Considers both clearing members and investment counterparts
7.3.6,None – actual liquidity requirements always met under LMEC rules
7.3.7,None – actual liquidity requirements always met under LMEC rules
12.1.1,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
12.1.2,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
12.1.3,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
12.2.1,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
12.2.2,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
12.2.3,"DvP, DvD & PvP settlement mechanisms not applicable to LME Market"
13.1.1,Provided ad-hoc following default - no defaults since launch (22 Sept 2014)
13.1.2,Provided ad-hoc following default - no defaults since launch (22 Sept 2014)
13.1.3.1,Provided ad-hoc following default - no defaults since launch (22 Sept 2014)
13.1.3.2,Provided ad-hoc following default - no defaults since launch (22 Sept 2014)
13.1.4,Provided ad-hoc following default - no defaults since launch (22 Sept 2014)
14.1.1,"LME Clear currently has two ISA accounts, non-disclosure according to notes"
16.2.1,"Including reverse repo, but excluding outright purchases"
16.2.4,LMEC consider reverse repo as secured by definition
16.2.8,USD Equivalent
16.2.9,WAM: 4 Days
16.2.15,"12.09% invested directly in USD securities
0% invested directly in EUR securities
0% invested directly in GBP securities
0% invested directly in JPY securities"
16.2.16,All Securities are FRNs with weekly fixes; The WAM of these securities is 86 days
16.2.17,99% 1-day VaR using a parametric approach (based on 2 year historical data). Underlying curve: 1W USD OIS [Source: Bloomberg])
16.2.18,"Limits per counterparty defined across 4 internal credit rating bands, based on concentration limits (as a percentage of total portfolio size). Max concentration limit range from 25% for AA- to AAA (CB1 & 2), to 15% for A- (CB4)"
16.2.19,0 limit breaches
16.2.20,"Outright purchases only, no reverse repo. Refer to 16.2.10"
16.3.1,N/A - no rehypothecation
16.3.2,N/A - no rehypothecation
16.3.3,N/A - no rehypothecation
16.3.4,N/A - no rehypothecation
17.1.1,Current operational availability target for LMEmercury
17.2.1, YTD clearing availability on LMEmercury
17.4.1,Instant failover between two data centers
18.1.2.4,"4 Credit Institutions, 3 unclassified"
19.1.3.1,N/A - client transactions not available
19.1.3.2,N/A - client transactions not available
19.1.4.1,N/A - client transactions not available
19.1.4.2,N/A - client transactions not available
20.7.2,N/A - no cross-margining
23.1.1,Quarterly average
23.1.2,"Quarterly average, USD equivalent - notional calculated by multiplying delta, closing price and tonnage"
23.2.1,As of 31 March
23.2.2,Commodities
23.2.3,"Forwards, Swaps, Options, TAPOs, Futures"
23.2.4,"AA, AE, AH, AN, AS, AW, CA, CO, FM, MO, MX, NA, NI, PB, SC, SN, SR, ZS: underlying codes linked to contracts"
23.3.1,Telephone includes OTC bring-ons and OTC take-offs
23.3.2,"Quarterly average, USD equivalent"
